start_station_id,time_idx,tempmax,humidity,precip,precipcover,cloudcover,windspeed,visibility,sealevelpressure,uvindex,sunset_minutes,month,weekday,year,snow,snowdepth,total_rentals
31125.0,12.0,21.1,45.9,0.0,0.0,28.4,16.7,16.0,1025.5,8,1212,5,2,2020,0.0,0.0,28
31200.0,12.0,21.1,45.9,0.0,0.0,28.4,16.7,16.0,1025.5,8,1212,5,2,2020,0.0,0.0,14
31201.0,12.0,21.1,45.9,0.0,0.0,28.4,16.7,16.0,1025.5,8,1212,5,2,2020,0.0,0.0,28
31202.0,12.0,21.1,45.9,0.0,0.0,28.4,16.7,16.0,1025.5,8,1212,5,2,2020,0.0,0.0,10
31203.0,12.0,21.1,45.9,0.0,0.0,28.4,16.7,16.0,1025.5,8,1212,5,2,2020,0.0,0.0,21
31214.0,12.0,21.1,45.9,0.0,0.0,28.4,16.7,16.0,1025.5,8,1212,5,2,2020,0.0,0.0,18
31229.0,12.0,21.1,45.9,0.0,0.0,28.4,16.7,16.0,1025.5,8,1212,5,2,2020,0.0,0.0,27
31247.0,12.0,21.1,45.9,0.0,0.0,28.4,16.7,16.0,1025.5,8,1212,5,2,2020,0.0,0.0,49
31248.0,12.0,21.1,45.9,0.0,0.0,28.4,16.7,16.0,1025.5,8,1212,5,2,2020,0.0,0.0,36
31258.0,12.0,21.1,45.9,0.0,0.0,28.4,16.7,16.0,1025.5,8,1212,5,2,2020,0.0,0.0,55
31266.0,12.0,21.1,45.9,0.0,0.0,28.4,16.7,16.0,1025.5,8,1212,5,2,2020,0.0,0.0,36
31281.0,12.0,21.1,45.9,0.0,0.0,28.4,16.7,16.0,1025.5,8,1212,5,2,2020,0.0,0.0,29
31288.0,12.0,21.1,45.9,0.0,0.0,28.4,16.7,16.0,1025.5,8,1212,5,2,2020,0.0,0.0,68
31289.0,12.0,21.1,45.9,0.0,0.0,28.4,16.7,16.0,1025.5,8,1212,5,2,2020,0.0,0.0,48
31600.0,12.0,21.1,45.9,0.0,0.0,28.4,16.7,16.0,1025.5,8,1212,5,2,2020,0.0,0.0,22
31603.0,12.0,21.1,45.9,0.0,0.0,28.4,16.7,16.0,1025.5,8,1212,5,2,2020,0.0,0.0,45
31613.0,12.0,21.1,45.9,0.0,0.0,28.4,16.7,16.0,1025.5,8,1212,5,2,2020,0.0,0.0,29
31623.0,12.0,21.1,45.9,0.0,0.0,28.4,16.7,16.0,1025.5,8,1212,5,2,2020,0.0,0.0,15
31627.0,12.0,21.1,45.9,0.0,0.0,28.4,16.7,16.0,1025.5,8,1212,5,2,2020,0.0,0.0,32
31101.0,13.0,21.2,68.4,0.552,8.33,62.0,19.7,15.9,1023.4,4,1213,5,3,2020,0.0,0.0,30
31125.0,13.0,21.2,68.4,0.552,8.33,62.0,19.7,15.9,1023.4,4,1213,5,3,2020,0.0,0.0,18
31200.0,13.0,21.2,68.4,0.552,8.33,62.0,19.7,15.9,1023.4,4,1213,5,3,2020,0.0,0.0,9
31201.0,13.0,21.2,68.4,0.552,8.33,62.0,19.7,15.9,1023.4,4,1213,5,3,2020,0.0,0.0,28
31202.0,13.0,21.2,68.4,0.552,8.33,62.0,19.7,15.9,1023.4,4,1213,5,3,2020,0.0,0.0,14
31203.0,13.0,21.2,68.4,0.552,8.33,62.0,19.7,15.9,1023.4,4,1213,5,3,2020,0.0,0.0,22
31214.0,13.0,21.2,68.4,0.552,8.33,62.0,19.7,15.9,1023.4,4,1213,5,3,2020,0.0,0.0,16
31229.0,13.0,21.2,68.4,0.552,8.33,62.0,19.7,15.9,1023.4,4,1213,5,3,2020,0.0,0.0,28
31247.0,13.0,21.2,68.4,0.552,8.33,62.0,19.7,15.9,1023.4,4,1213,5,3,2020,0.0,0.0,36
31248.0,13.0,21.2,68.4,0.552,8.33,62.0,19.7,15.9,1023.4,4,1213,5,3,2020,0.0,0.0,40
31258.0,13.0,21.2,68.4,0.552,8.33,62.0,19.7,15.9,1023.4,4,1213,5,3,2020,0.0,0.0,48
31266.0,13.0,21.2,68.4,0.552,8.33,62.0,19.7,15.9,1023.4,4,1213,5,3,2020,0.0,0.0,36
31281.0,13.0,21.2,68.4,0.552,8.33,62.0,19.7,15.9,1023.4,4,1213,5,3,2020,0.0,0.0,33
31288.0,13.0,21.2,68.4,0.552,8.33,62.0,19.7,15.9,1023.4,4,1213,5,3,2020,0.0,0.0,55
31289.0,13.0,21.2,68.4,0.552,8.33,62.0,19.7,15.9,1023.4,4,1213,5,3,2020,0.0,0.0,44
31600.0,13.0,21.2,68.4,0.552,8.33,62.0,19.7,15.9,1023.4,4,1213,5,3,2020,0.0,0.0,19
31603.0,13.0,21.2,68.4,0.552,8.33,62.0,19.7,15.9,1023.4,4,1213,5,3,2020,0.0,0.0,43
31613.0,13.0,21.2,68.4,0.552,8.33,62.0,19.7,15.9,1023.4,4,1213,5,3,2020,0.0,0.0,21
31623.0,13.0,21.2,68.4,0.552,8.33,62.0,19.7,15.9,1023.4,4,1213,5,3,2020,0.0,0.0,13
31627.0,13.0,21.2,68.4,0.552,8.33,62.0,19.7,15.9,1023.4,4,1213,5,3,2020,0.0,0.0,28
31101.0,14.0,29.3,65.6,0.036,4.17,53.0,32.4,16.0,1015.9,8,1214,5,4,2020,0.0,0.0,47
31125.0,14.0,29.3,65.6,0.036,4.17,53.0,32.4,16.0,1015.9,8,1214,5,4,2020,0.0,0.0,23
31200.0,14.0,29.3,65.6,0.036,4.17,53.0,32.4,16.0,1015.9,8,1214,5,4,2020,0.0,0.0,20
31201.0,14.0,29.3,65.6,0.036,4.17,53.0,32.4,16.0,1015.9,8,1214,5,4,2020,0.0,0.0,33
31202.0,14.0,29.3,65.6,0.036,4.17,53.0,32.4,16.0,1015.9,8,1214,5,4,2020,0.0,0.0,29
31203.0,14.0,29.3,65.6,0.036,4.17,53.0,32.4,16.0,1015.9,8,1214,5,4,2020,0.0,0.0,34
31214.0,14.0,29.3,65.6,0.036,4.17,53.0,32.4,16.0,1015.9,8,1214,5,4,2020,0.0,0.0,24
31229.0,14.0,29.3,65.6,0.036,4.17,53.0,32.4,16.0,1015.9,8,1214,5,4,2020,0.0,0.0,47
31247.0,14.0,29.3,65.6,0.036,4.17,53.0,32.4,16.0,1015.9,8,1214,5,4,2020,0.0,0.0,88
31248.0,14.0,29.3,65.6,0.036,4.17,53.0,32.4,16.0,1015.9,8,1214,5,4,2020,0.0,0.0,75
