time_idx,tempmax,humidity,precip,precipcover,cloudcover,windspeed,visibility,sealevelpressure,uvindex,sunset_minutes,month,weekday,year,snow,snowdepth,total_rentals_lag_1,total_rentals_lag_7,station_31125.0,station_31200.0,station_31201.0,station_31202.0,station_31203.0,station_31214.0,station_31229.0,station_31247.0,station_31248.0,station_31258.0,station_31266.0,station_31281.0,station_31288.0,station_31289.0,station_31600.0,station_31603.0,station_31613.0,station_31623.0,station_31627.0,total_rentals,split,start_station_id_raw
9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8.0,1209.0,5.0,6.0,2020.0,0.0,0.0,17.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,train,31201.0
9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8.0,1209.0,5.0,6.0,2020.0,0.0,0.0,29.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,train,31203.0
9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8.0,1209.0,5.0,6.0,2020.0,0.0,0.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,train,31214.0
9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8.0,1209.0,5.0,6.0,2020.0,0.0,0.0,41.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,train,31229.0
9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8.0,1209.0,5.0,6.0,2020.0,0.0,0.0,28.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,train,31247.0
9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8.0,1209.0,5.0,6.0,2020.0,0.0,0.0,38.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83,train,31248.0
9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8.0,1209.0,5.0,6.0,2020.0,0.0,0.0,33.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,train,31258.0
9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8.0,1209.0,5.0,6.0,2020.0,0.0,0.0,29.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,train,31266.0
9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8.0,1209.0,5.0,6.0,2020.0,0.0,0.0,20.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,train,31281.0
9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8.0,1209.0,5.0,6.0,2020.0,0.0,0.0,38.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,104,train,31288.0
9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8.0,1209.0,5.0,6.0,2020.0,0.0,0.0,33.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,72,train,31289.0
9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8.0,1209.0,5.0,6.0,2020.0,0.0,0.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17,train,31600.0
9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8.0,1209.0,5.0,6.0,2020.0,0.0,0.0,31.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74,train,31603.0
9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8.0,1209.0,5.0,6.0,2020.0,0.0,0.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,train,31613.0
9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8.0,1209.0,5.0,6.0,2020.0,0.0,0.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14,train,31623.0
9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8.0,1209.0,5.0,6.0,2020.0,0.0,0.0,27.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36,train,31627.0
10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4.0,1210.0,5.0,0.0,2020.0,0.0,0.0,38.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,train,31101.0
10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4.0,1210.0,5.0,0.0,2020.0,0.0,0.0,33.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,train,31125.0
10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4.0,1210.0,5.0,0.0,2020.0,0.0,0.0,26.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,train,31200.0
10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4.0,1210.0,5.0,0.0,2020.0,0.0,0.0,39.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,train,31201.0
