day_of_month_int,mae,rmse,mean_residual,mean_actual,mean_prediction,n,model
28,21.631539033072222,28.034780618459724,-9.85821256939368,96.125,86.26678743060633,160,Gradient Boosting
29,18.489371605184072,24.52334226311433,-4.715584526666592,91.09375,86.37816547333341,160,Gradient Boosting
30,17.887360134907045,24.681260750738858,-12.039486298727782,103.2158273381295,91.1763410394017,139,Gradient Boosting
31,16.533891369127385,21.028697688195088,-5.466494695995651,105.99,100.52350530400436,100,Gradient Boosting
1,16.983557063276166,21.065971970956248,-3.904653824511467,93.91428571428571,90.00963188977425,140,Neural Network
2,20.92249394504798,26.277822109203758,-8.432998181113469,89.8,81.36700181888654,140,Neural Network
3,18.39733544053965,22.749948781386365,-7.167843863179927,95.03571428571429,87.86787042253437,140,Neural Network
4,21.63593018309542,28.04914408117108,-7.498521276135871,89.26618705035972,81.76766577422384,139,Neural Network
5,16.33370890221996,20.24188361294645,-4.992798523429093,83.5251798561151,78.53238133268601,139,Neural Network
6,18.214847761270708,23.1786778122568,-6.447034120327683,89.32142857142857,82.8743944511009,140,Neural Network
7,18.472948895956083,24.191394460612127,-5.239906620132198,100.35714285714286,95.11723623701066,140,Neural Network
8,16.69425561365073,21.621350808128657,-3.0246039316936257,89.95625,86.93164606830638,160,Neural Network
9,14.917721526528993,19.824707751457755,-2.154391629834354,76.48427672955975,74.32988509972539,159,Neural Network
10,19.441373321107946,24.339255849102386,-11.148284867025492,90.47798742138365,79.32970255435815,159,Neural Network
11,18.16491989519434,23.79032906428525,-8.0229962320249,91.9748427672956,83.95184653527069,159,Neural Network
12,14.294006211975082,18.45097135549484,-5.2290226717498784,87.63125,82.40222732825012,160,Neural Network
13,19.364237363112892,24.306864448572217,-11.939847285043529,101.5625,89.62265271495647,160,Neural Network
14,19.50100719766777,25.545392835725554,-5.774223478757611,97.25625,91.48202652124239,160,Neural Network
15,16.64452483375675,21.304323875869354,-7.029134674069873,88.10625,81.07711532593012,160,Neural Network
16,21.138604823787475,28.526665211035102,-11.030819195053809,99.25157232704403,88.22075313199022,159,Neural Network
17,21.075636826591847,26.23954753358578,-8.487294130447891,89.51875,81.0314558695521,160,Neural Network
18,16.54213684355409,21.429023275275302,-2.7374079400752334,86.425,83.68759205992477,160,Neural Network
19,18.27724286898449,23.461005886618853,-13.255744663856698,90.36477987421384,77.10903521035713,159,Neural Network
20,16.53344779225834,21.458035172075423,-7.609532528675449,96.68987341772151,89.08034088904607,158,Neural Network
21,17.864483332345404,23.144627400240346,-5.481202752221093,93.29559748427673,87.81439473205563,159,Neural Network
22,18.66951873117258,23.23980815705795,-2.735427800131557,87.95,85.21457219986844,160,Neural Network
23,21.700478024231842,27.577488597646845,-7.7673484869059,90.91823899371069,83.15089050680479,159,Neural Network
24,22.22282719750087,28.335727776378636,-11.629843761881535,104.15723270440252,92.52738894252097,159,Neural Network
25,20.26638433233424,26.20795785874261,-7.916966591003494,97.3,89.38303340899651,160,Neural Network
26,17.917068936394468,23.33267508870938,-8.211514075515536,103.9119496855346,95.70043561001906,159,Neural Network
27,22.358952025140862,27.863381013985514,-11.126705848621963,94.55345911949685,83.4267532708749,159,Neural Network
28,22.735752235456054,27.67797600726252,-12.684417361065547,96.125,83.44058263893444,160,Neural Network
29,18.841120971236812,24.65933849181965,-4.3504046902444085,91.09375,86.7433453097556,160,Neural Network
30,20.019003453055685,26.25536472299475,-11.78260049739173,103.2158273381295,91.43322684073777,139,Neural Network
31,19.786681107013052,24.90882379333991,-14.626029177952482,105.99,91.36397082204752,100,Neural Network
1,15.583542785915773,21.06584160163123,3.9249749617596046,93.91428571428571,97.83926067604531,140,Lasso
2,15.44168411364946,21.10577761161605,7.44929638799896,89.8,97.24929638799897,140,Lasso
3,15.947328248252363,20.6555393174523,0.002726128438180402,95.03571428571429,95.03844041415246,140,Lasso
4,19.058768712607204,24.989882010799548,4.095005440784754,89.26618705035972,93.36119249114446,139,Lasso
5,15.27375071917935,20.324508598717134,7.697274365913251,83.5251798561151,91.22245422202836,139,Lasso
6,15.442836849095984,19.578935716341224,3.987153327885345,89.32142857142857,93.30858189931392,140,Lasso
7,14.613885994428648,20.138881900733246,0.24327405870298843,100.35714285714286,100.60041691584586,140,Lasso
8,16.30939658915857,21.227626741990708,3.8249732977619764,89.95625,93.78122329776197,160,Lasso
9,15.761778358198958,19.42720807441852,7.403741541634211,76.48427672955975,83.88801827119396,159,Lasso
10,20.57613513023783,26.446962872998437,-4.2524673278791445,90.47798742138365,86.2255200935045,159,Lasso
11,20.54085362321443,27.990778959875534,0.06548453745120252,91.9748427672956,92.0403273047468,159,Lasso
12,15.212846359108685,21.413766294611804,-1.75015502809207,87.63125,85.88109497190793,160,Lasso
13,19.006391789618068,25.25177021940593,-11.251775905282102,101.5625,90.3107240947179,160,Lasso
14,18.243540662030092,23.601409255645876,3.998175232613922,97.25625,101.25442523261393,160,Lasso
15,15.73522307683248,20.63459918904475,3.055391254040823,88.10625,91.16164125404082,160,Lasso
16,23.9057649971862,36.70084338580337,-8.554888623506004,99.25157232704403,90.69668370353801,159,Lasso
17,21.124444709939134,26.0436471760088,6.221362543891923,89.51875,95.74011254389193,160,Lasso
18,18.397770078920423,23.246600148384747,8.450817864351109,86.425,94.8758178643511,160,Lasso
19,16.13257193304244,21.291744514484503,-1.4565119906054738,90.36477987421384,88.90826788360836,159,Lasso
20,18.896029240884822,23.94928419724484,2.8337144838959025,96.68987341772151,99.52358790161742,158,Lasso
21,17.876232451386514,23.09912759146409,8.128430681286408,93.29559748427673,101.42402816556313,159,Lasso
